,catégorie,libellé
0,Informer ou conseiller,
1,,Conseiller en tant qu’expert un client
2,,Analyser et déterminer les besoins d’un client
3,,Accueillir ou orienter un client
4,"Cuisiner, cultiver ou assurer une étape manuelle de production industrille",
5,,Cultiver ou entretenir des espaces naturels 
6,,Cuisiner
7,,"Assurer une étape manuelle de production industrielle (assembler, monter, souder, usiner, mouler, imprimer, traiter, …)"
8,Enseigner ou animer un groupe,
9,,Animer un groupe
10,,Enseigner
11,Gérer ou organiser,
12,,Gérer un dossier ou une formalité administrative
13,,Planifier
14,,Effectuer des opérations liée à la gestion des ressources humaines
15,,Organiser un événement ou superviser une opération
16,,Compléter des documents ou des dossiers
17,,Gérer le budget ou la comptabilité d’une structure
18,,Distribuer des courriers
19,,Saisir et mettre en forme des documents
20,,Gérer une production industrielle
21,,Gérer un approvisionnement et des stocks
22,Réaliser une activité artistique ou sportive,
23,,Réaliser un art plastique
24,,Jouer de la musique ou chanter
25,,Pratiquer une activité sportive
26,,"Être acteur ou comédien, danser ou défiler"
27,,Concevoir un projet artistique
28,"Manager des équipes, diriger des entreprises ou coordonner des actions",
29,,Superviser une équipe
30,,"Coordonner un projet, des actions ou une formation"
31,,Gérer une entreprise ou un service
32,,Effectuer une activité liée à la gestion des ressources humaines
33,,Prendre des décisions et définir une stratégie
34,"Faire du commerce (vendre, acheter ou négocier)",
35,,Acheter ou négocier des produits ou des services
36,,Établir des devis ou des contrats
37,,Vendre des produits ou des services
38,,Effectuer des opérations de caisse
39,,Prospecter des clients ou des partenaires
40,"Contrôler, sécuriser, surveiller (une production, un lieu de travail, …)",
41,,Veiller à l’application des réglementations
42,,Contrôler la conformité d’un processus de production ou réguler un trafic
43,,Surveiller un lieu
44,,Surveiller le fonctionnement d’une machine ou d’une installation
45,,Opérer sur un processus de production de biens ou de services
46,,Sécuriser un environnement de travail
47,"Manipuler un outil ou une machine, transporter des biens ou des personnes ou conduire un véhicule",
48,,Transporter des personnes ou des animaux
49,,Superviser ou conduire une machine
50,,"Ranger, emballer ou trier des marchandises"
51,,Conduire un véhicule ou un engin
52,,"Transporter des marchandises à l'aide d'un véhicule, livrer"
53,,Manipuler un outil ou un appareil
54,,Porter une charge
55,"Construire, aménager ou décorer un espace",
56,,"BTP : Réaliser une activité du second oeuvre (peinture, électricité, etc)"
57,,"BTP : Réaliser une activité de gros œuvre (construire un batiment, une installation)"
58,,Décorer ou agencer un espace
59,Nettoyer ou laver,
60,,Nettoyer des espaces extérieurs
61,,"Nettoyer des intérieurs, des locaux"
62,,"Laver du matériel, des ustensiles, des machines, des véhicules"
63,,"Stériliser, désinfecter, dépolluer, décontaminer"
64,,"Nettoyer des textiles, des cuirs, du linge"
65,Prendre soin de personnes ou d’animaux,
66,,Prendre soin de personnes
67,,Prendre soin d’animaux
68,Traiter des informations et communiquer,
69,,"Actualiser des informations, des bases de données"
70,,Communiquer
71,,"Corriger des textes, rédiger, traduire ou collecter des informations"
72,,"Traiter des images, des sons, des lumières, des contenus multimédias"
73,Mettre en service et entretenir des équipements,
74,,Entretenir un bâtiment
75,,Réparer des véhicules ou des équipements
76,,Monter ou démonter un équipement
77,,Détecter une panne
78,,Mettre en service des équipements (réglages et paramétrages)
79,,Entretenir des équipements
80,Concevoir et développer un service ou un produit ou analyser des données,
81,,Analyser des données socio-économiques
82,,Enquêter
83,,"Concevoir une offre, un produit ou un processus"
84,,"Réaliser des plans, des cartes, des schémas ou des dessins"
85,,Élaborer une documentation technique
86,,Analyser des données techniques
